"Code name
-DO NOT EDIT THIS FIELD-",Actual name,Description

item.spearWood.*.1,Wooden Spear,"This wooden spear does less damage than a sword, but can be thrown by right-clicking.   It will not disappear after hitting a mob and can be retreived."
item.spearStone.*.1,Stone Spear,"Stone spears do less damage than a stone sword,  but have a slightly higher knockback and can be thrown by right-clicking.   It will not disappear after impact and can be retreived."
item.spearSteel.*.1,Iron Spear,"Iron spears do less damage than iron swords, but have a slightly higher knockback and can be thrown by right-clicking.   It will not disappear after hitting a mob and can be retreived."
item.spearGold.*.1,Golden Spear,"Gold spears do less damage than golden swords, but have a slightly higher knockback and can be thrown by right-clicking.   It will not disappear after hitting a mob and can be retreived.  All golden weapons have signifigantly higher knockback than other materials but break quite quickly."
item.spearDiamond.*.1,Diamond Spear,"The strongest spear, this weapon does less damage than a diamond sword, but has a slightly higher knockback and can be thrown by right-clicking.   It will not disappear after hitting a mob and can be retreived."
item.flailWood.*.1,Wooden Flail,"The weakest flail.  Does a lot of damage and the ball can be thrown by right clicking.  It will follow where you go and right clicking it again will swing it.
If the ball is set on fire (such as by lava) and you hit a mob, it will be set on fire too!"
item.flailStone.*.1,Stone Flail,"A stronger flail.  Does a lot of damage and the ball can be thrown by right clicking.  It will follow where you go and right clicking it again will swing it.
If the ball is set on fire (such as by lava) and you hit a mob, it will be set on fire too!"
item.flailSteel.*.1,Iron Flail,"The middle tier flail, it does a lot of damage and the ball can be thrown by right clicking.  It will follow where you go and right clicking it again will swing it.
If the ball is set on fire (such as by lava) and you hit a mob, it will be set on fire too!"
item.flailGold.*.1,Golden Flail,"A very strong flail, it does a lot of damage and the ball can be thrown by right clicking.  It will follow where you go and right clicking it again will swing it.
If the ball is set on fire (such as by lava) and you hit a mob, it will be set on fire too!    All golden weapons have signifigantly higher knockback than other materials but break quite quickly."
item.flailDiamond.*.1,Diamond Flail,"The strongest flail, this does a ton of damage and the ball can be thrown by right clicking.  It will follow where you go and right clicking it again will swing it.
If the ball is set on fire (such as by lava) and you hit a mob, it will be set on fire too!"
item.battleaxeWood.*.1,Wooden Battleaxe,"An axe made of wood, this weapon does alot of damage and has a huge knockback.  Also does more damage to blocks than most weapons, especially wood blocks.
"
item.battleaxeStone.*.1,Stone Battleaxe,"An upgraded battleaxe, this weapon does alot of damage and has a huge knockback.  Also does more damage to blocks than most weapons, especially wood blocks.  It is also quite manly."
item.battleaxeIron.*.1,Iron Battleaxe,"A very strong battleaxe, this weapon does alot of damage and has a huge knockback.  Also does more damage to blocks than most weapons, especially wood blocks."
item.battleaxeGold.*.1,Golden Battleaxe,"An upper tier battleaxe, this weapon does alot of damage and has a huge knockback.  Also does more damage to blocks than most weapons, especially wood blocks.   All golden weapons have signifigantly higher knockback than other materials but break quite quickly."
item.battleaxeDiamond.*.1,Diamond Battleaxe,"The strongest battleaxe, this weapon does massive damage and has a huge knockback.  Also does more damage to blocks than most weapons, especially wood blocks."
item.warhammerWood.*.1,Wooden Warhammer,"This wooden hammer does as much damage and has the same knockback as the wooden halberd, but also does huge damage to blocks.  Hold right mouse button to charge a super-SMASH!   If you hold it long enough and then release, the shockwave will be strong enough to damage any creature around you."
item.warhammerStone.*.1,Stone Warhammer,"A stronger hammer, this does the same damage and has as much knockback as the stone halberd, but also does huge damage to blocks.  Hold right mouse button to charge a super-SMASH!   If you hold it long enough and then release, the shockwave will be strong enough to damage any creature around you."
item.warhammerIron.*.1,Iron Warhammer,"A very strong weapon, this does the same damage and has as much knockback as an iron halberd, but also does huge damage to blocks.  Hold right mouse button to charge a super-SMASH!   If you hold it long enough and then release, the shockwave will be strong enough to damage any creature around you."
item.warhammerGold.*.1,Golden Warhammer,"A strong and slightly effeminate weapon, this does as much damage and has the same knockback as a golden halberd, but also does huge damage to blocks.  Hold right mouse button to charge a super-SMASH!   If you hold it long enough and then release, the shockwave will be strong enough to damage any creature around you.   All golden weapons have signifigantly higher knockback than other materials but break quite quickly."
item.warhammerDiamond.*.1,Diamond Warhammer,"The strongest warhammer, this does as much damage and has the same knockback as the diamond halberd, but also does huge damage to blocks.  Hold right mouse button to charge a super-SMASH!   If you hold it long enough and then release, the shockwave will be strong enough to damage any creature around you."
item.knifeWood.*.1,Wooden Knife,"This easily-made weapon does less damage than a wooden sword and has half the durability, but is crafted with very few recources and can be made without a workbench.  It cuts through cobwebs very easily, and can be thrown by right-clicking (does not disappear on impact.)"
