Code name,Actual name,Description
-DO NOT EDIT THIS FIELD-,This is the Actual Name of a Object,Description of the object
item.woodenGearItem.*.1,Wooden Gear,"A wooden gear is made from wooden sticks. They are used as a component for the very simplest machines, such as redstone engines. It can be upgraded with cobblestone to create Stone Gears."
item.stoneGearItem.*.1,Stone Gear,"A stone gear is made from cobblestone and a wooden gear. They are used as a component of simple machines, such as steam engines.  It can be upgraded with four iron ingots to create Iron Gears."
item.ironGearItem.*.1,Iron Gear,An iron gear is made from iron ingots and a stone gear. They are used as a component of basic machines.  It can be upgraded with gold ingots to create Gold Gears.
item.goldGearItem.*.1,Gold Gear,A golden gear is made from gold ingots and an iron gear. They are used in some high end machines. It can be upgraded with diamond to create Diamond Gears.
item.diamondGearItem.*.1,Diamond Gear,Diamond gears are made from diamonds and a gold gear. They are used to craft advanced machines such as quarries. This gear is the last upgrade of the gear line.
item.wrenchItem.*.1,Wrench,"The Buildcraft wrench allows you to manipulate engines, machines, and wooden or iron pipes.  Is not compatible with the Industrialcraft wrench and will have no effect on items from it or any other mod."
item.pipeWaterproof.*.1,Pipe waterproof,"Pipe waterproof is used to create waterproof pipes when placed on top of one in a crafting grid.  This allows transport of liquids such as water, lava, or oil."
item.PipeItemsWood.*.1,Wooden Transport Pipe,Wooden Transport pipe is the cheapest pipe to make. It allows you extract items from a chest or other container such as a furnace into a pipe system when powered by an adjacent engine.
item.PipeItemsCobblestone.*.1,Cobblestone Transport Pipe,Cobblestone Transport pipe is the second cheapest pipe. They serve as a transporter only. They do not connect with Stone Transport pipes.
item.PipeItemsStone.*.1,Stone Transport Pipe,Stone Transport pipe is the third cheapest pipe. They serve as a transporter only. They do not connect with CobbleStone Transport pipes.
item.PipeItemsIron.*.1,Iron Transport Pipe,"Iron Transport pipe serves as a director.  They will only allow items to pass through one of the five possible outputs, and are very useful for preventing backflow.  The output direction is configurable using the buildcraft wrench."
item.PipeItemsGold.*.1,Gold Transport Pipe,Gold Transport pipe greatly accelerates items passing through it when powered by redstone or an engine.
