"Code name
-DO NOT EDIT THIS FIELD-",Actual name,Description

item.philStone.*.1,Philosopher's Stone,Allows transmutation recipes plus some extra features included.
item.darkMatter.*.1,Dark Matter,"Dark matter is a dangerious material. Stick it in a collector and it will gather energy, eventually becoming Red Matter."
item.redMatter.*.1,Red Matter,"Red Matter is produced by charging a piece of Dark Matter in an Energy Collector (Using an Antimatter Relay to boost the process is a wise choice). It is used in the creation of the best tools in the mod, Red Matter tools. It is not considered as fuel, so if you put it in a Relay it will yield 150% of its EMC."
item.baseRing.*.1,Iron Band,The iron band is the base component alchemical rings.
item.darkAxe.*.1,Dark Matter Axe,Dark Matter Axe. The second most powerful axe! Infinite Durability!
item.darkHoe.*.1,Dark Matter Hoe,Dark Matter Hoe. Infinite Durability!
item.darkSword.*.1,Dark Matter Sword,Dark Matter Sword. The second most powerful sword! Infinite Durability!
item.darkPickaxe.*.1,Dark Matter Pickaxe,"Dark Matter Pickaxe. The second most powerful pickaxe, can mine everything and Infinite Durability!"
item.darkSpade.*.1,Dark Matter Shovel,Dark Matter Shovel. The second most powerful shovel! Infinite Durability!
item.darkShears.*.1,Dark Matter Shears,"Has an infinite durability and when shearing a sheep by left-clicking, drops the wool on top of the player's head. 
Press v to charge, which shears leaves and drops leaf blocks. 
It will cause a sheep to drop 8 wool, compared to a usual 3
It can also sometimes clone the sheep allowing an infinite wool supply"
item.darkHammer.*.1,Dark Matter Hammer,"When forged, the Dark Matter Hammer can destroy stone and ore faster than a diamond pick axe and will never break.
When you charge it with V, the hammer can go up to three different levels.
By right clicking it when it's charged, the hammer destroys all rock within a certain area,
leaving only dirt, sand, gravel, clay, water, and lava."
item.darkMatterHelmet.*.1,Dark Matter Helmet,"The 2nd most powerful armor, only beaten by Red Matter Armor. When all of the armor sets are used you're pretty much indestructible."
item.darkMatterArmor.*.1,Dark Matter Chestplate,"The 2nd most powerful armor, only beaten by Red Matter Armor. When all of the armor sets are used you're pretty much indestructible."
item.darkMatterGreaves.*.1,Dark Matter Leggings,"The 2nd most powerful armor, only beaten by Red Matter Armor. When all of the armor sets are used you're pretty much indestructible."
item.darkMatterBoots.*.1,Dark Matter Boots,"The 2nd most powerful armor, only beaten by Red Matter Armor. When all of the armor sets are used you're pretty much indestructible."
item.darkMatterHelmetP.*.1,Aqueous Helmet,"Red Matter Armor, with the bonus of granting the ability to breath under water."
item.darkMatterArmorP.*.1,Volcanic Armor,"Red Matter Armor, with the bonus of granting immunity to Lava and Fire."
item.darkMatterGreavesP.*.1,Weightless Greaves,"Red Matter Armor, with the bonus of granting - "
item.darkMatterBootsP.*.1,Gale Boots,"Red Matter Armor, with the bonus of granting the ability to fly, much like the Rending Gale, but without cost."
item.redAxe.*.1,Red matter Axe,Red Matter Axe. The most powerful axe! Infinite Durability!
item.redHoe.*.1,Red matter Hoe,Red Matter Hoe. Infinite Durability!
item.redSword.*.1,Red matter Sword,Red Matter Sword. The most powerful sword! Infinite Durability!
item.redPickaxe.*.1,Red matter Pickaxe,"Red Matter Pickaxe. The most powerful pickaxe, can mine everything and Infinite Durability!"
item.redSpade.*.1,Red matter Shovel,Red Matter Shovel. The most powerful shovel! Infinite Durability!
item.redShears.*.1,Red Matter Shears,"As an addition to the DM shears these new shears have an extra charge level.
Allows them to 'shear' a massive amount of leaves or wool."
item.redHammer.*.1,Red Matter Hammer,"When forged, the Red Matter Hammer can destroy stone and ore faster than a diamond pick axe and will never break.
When you charge it with V, the hammer can go up to four different levels.
By right clicking it when it's charged, the hammer destroys all rock within a certain area,
leaving only dirt, sand, gravel, clay, water, and lava."
item.redMatterHelmet.*.1,Red matter Helmet,The most powerful armor. When all of the armor sets are used you're pretty much indestrutible.
item.redMatterArmor.*.1,Red matter Chestplate,The most powerful armor. When all of the armor sets are used you're pretty much indestrutible.
item.redMatterGreaves.*.1,Red matter Leggings,The most powerful armor. When all of the armor sets are used you're pretty much indestrutible.
item.redMatterBoots.*.1,Red matter Boots,The most powerful armor. When all of the armor sets are used you're pretty much indestrutible.
item.redMatterHelmetP.*.1,Abyss Helmet,"Red Matter Armor, with the bonus of granting the ability to breath under water."
item.redMatterArmorP.*.1,Infernal Armor,"Red Matter Armor, with the bonus of granting immunity to Lava and Fire."
item.redMatterGreavesP.*.1,Gravity Greaves,"Red Matter Armor, with the bonus of granting - "
item.redMatterBootsP.*.1,Hurricane Boots,"Red Matter Armor, with the bonus of granting the ability to fly, much like the Rending Gale, but without cost."
item.catalystStone.*.1,Destruction Catalyst,Destruction catalyst is DESTRUCTIVE. Used for mining or all that cool stuff.
item.hyperkineticLens.*.1,Hyperkinetic lens,Lobs an explosive projectile consuming glowstone dust. The projectile will fizzle if it is too close to the player on impact.
item.hyperCatalyst.0.1,Catalytic Lens,"Similar to a combination of Destruction Catalyst and Hyperkinetic lens, but more powerful and fuel efficient.
A max level projectile consumes only 4 glowstone dust. The consumption rates of the Destruction Catalyst's "
item.soulStone.*.1,Soul Stone,"When it's in your inventory, It heals you over time when active, or can be ""used"" to immediately heal a heart. It will also heal mobs if you strike them with it. Whether healing yourself or a mob, each heart healed costs you 2 redstone (or two Klein Star points)."
item.evertide.*.1,Evertide amulet,"This item allows you to breathe underwater for an unlimited amount of time. It also allows you to fire a projectile, that upon hitting ground, will create water. If the projectile should hit the sky, it shall bring down rain!"
item.volcanite.*.1,Volcanite amulet,"This magical item will grant lava immunity so long as it is in your main item bar. It has a right click feature that will consume gunpowder and create lava for every 2 consumed, so beware where you place it. If the projectile hits a mob, they will be dealt damage and lit on fire. If the projectile nears water, it shall evaporate the water. Should the projectile stray to the sky during a rain storm, it will clear the skies."
item.attractionRing.*.1,Black hole band,"This band draws in items nearby, and is free to use. Placing it within an Alchemical chest will cause the items to be drawn into it."
item.grimarchRing.*.1,Archangel's smite,"Consumes Arrows, Dirt, Stone, Cobblestone and Flint from your inventory to produce massive quantities of arrows, that also home into nearby mobs. Left clicking will fire a shotgun like barrage, while holding right click will constantly fire a chain or arrows."
item.ignitionRing.*.1,Ignition ring,"Left clicking with the ring will fire a projectile that bursts a 3x3x3 area into flames, directly. Doing so consumes nothing. Holding it on your hot bar will grant fire and lava immunity. Upon activating the ring, it will consume 1 redstone dust every 10 seconds, and nearby blocks and mobs will ignite and take fire damage.
"
