"Code Name
type.name.dmgval.version",Actual Name,Description

tile.log.*.1,Wood,"Logs of wood can be chopped by hand, but using an axe is quicker. Logs are flammable so be careful with fire in a forest as the fire can spread quickly. A log can be crafted into four wooden planks.

Logs can be burnt as fuel inside furnaces, they burn for fifteen seconds."
tile.log.*.2,,"Example, if you are adding your own description, do not overwrite an existing one, create a new cell with a new number so we can see all the different versions and pick the best. To insert a new cell right click on the numbers on the left and click ""insert 1 below"".
Although I will overwrite descriptions I don't think are very descriptive.
If you add a description add your name to the credits at the bottom of this page."
item.apple.*.2,Apple,Delicious red apples are hard to find! They restore two hunger points and drop from oak trees.
item.apple.*.1,Apple,"This yummy fruit won't cure scurvy, but it will fill up two hunger points.  They can drop from oak trees and may be found in dungeons as well."
item.appleGold.*.2,Golden Apple,A delicious apple now coated with gold. Sweet sweet Gold. Restores five hunger points.
item.appleGold.*.1,Golden Apple,"This rare treat will not only restore a good bit of hunger, but also cause your health to rapidly regenerate, even if you are still hungry after you eat it!"
item.bed.*.1,Bed,"When the sky goes dark and the monsters come out it is sometimes best to go to bed. Once you place a bed right click it to go to sleep, you will wake up at dawn.
You can not go to bed if there are monsters very close by. Sleeping in a bed also sets your respawn point to that location.
Also note that furnaces will not continue to burn overnight."
item.beefCooked.*.1,Cooked Beef,A deliciously cooked steak that will fill four hunger points.
item.beefRaw.*.1,Raw Beef,"A raw steak.  You can eat it as is, but cooking it in a furnace will fill you up a lot more!"
item.blazePowder.*.1,Blaze Powder,"Used in the making of ""Eyes of Ender"" and ""Magma Creams."""
item.blazeRod.*.1,Blaze Rod,"Blaze rods are obtained from Blazes. These are mobs that can be found in the nether, but beware of the flames they project. The main use of these rods is being crafted into blaze powder."
item.boat.*.1,Boat,"Boats can be ridden on water, use them to explore the oceans and travel down rivers. Wooden boats are quite fragile so try not to sail into anything at speed, and don't even think of riding it in lava."
item.bone.*.1,Bone,Bones are obtained from killing skeletons and can be mashed into bonemeal which makes the best fertiliser.
item.book.*.1,Book,Books are used to make bookshelves and enchantment tables and of course the crafting table II.
item.bootsCloth.*.1,Leather Boots,Comfy boots for your very sensitive feet. It will protect your feet but not for long.
item.bootsDiamond.*.1,Diamond Boots,Your feet needs protection. This is the best protection it will ever get!
item.bootsGold.*.1,Gold Boots,"This will make your feet so shiny that people cant look at them. But better still, It will protect you from damage!"
item.bootsIron.*.1,Iron Boots,"These boots are one of the best boots in minecraft. Shiny Iron boots, Do you want it?"
item.bow.*.1,Bow,"A ranged weapon that fires arrows, especially useful on creepers and spiders to keep your distance. Hold right click to stretch back the string and adjust your power."
item.bowl.*.1,Bowl,A wooden bowl can hold soup and stew.
item.bread.*.1,Bread,Bread is made from wheat and restores two hunger points.
item.brewingStand.*.1,Brewing Stand,"A brewing stand allows you to dabble in the art of potion making. Place various ingredients inside and up to three bottles which can contain water or other potions.
The ingredient will distill into all three bottles."
item.brewingStand.*.2,Brewing Stand,"A brewing stand allows you to dabble in the art of potion making. The brewing stand will distill an ingredient into glass bottles. Use the brewing stand to open the interface, the bottom three slots can hold glass bottles, these bottles must be filled with either water or some potion. The upper slot is used to brew an ingredient which will distill into the bottles."
item.brick.*.1,Brick,"Brick is a decorative material, but can also be turned into stairs and half steps."
item.bucketEmpty.*.1,Bucket,"A bucket is crafted using 3 iron ingots. It can be used to scoop up lava or water, or even to milk a cow."
item.bucketLava.*.1,Lava Bucket,"It's very hot, use it to spill this fiery liquid. It can be turned into obsidian, help with the production of cobble, and even be used as decoration. Just make sure not to go for a dive."
item.bucketWater.*.1,Water Bucket,"Its very cool, right click to place this relaxing liquid. It can help with the production of cobble, be used as decoration, or a nice cool down after a fiery bath."
item.cake.*.1,Cake,"This cake is a lie! Look down at your hands, now back to your inventory, now back to your hands. The cake isn't a lie."
item.cauldron.*.1,Cauldron,Replica to witch's cauldron that makes evil things. You will use this to make good things and pay revenge to the witches!
item.chestplateCloth.*.1,Leather Tunic,This Leather Tunic will keep your mighty chest from getting injured or damaged. It will protect you but not for long.
item.chestplateDiamond.*.1,Diamond Chestplate,The strongest material made into a chestplate.  It's quite heavy but it will protect you longer than any other armor.
item.chestplateGold.*.1,Gold Chestplate,Your chest will sparkle while using this. Your will be so shiny that mobs hate seeing you.
item.chestplateIron.*.1,Iron Chestplate,Mighty chestplate for a mighty Warrior. Can hold damage and still keep you mighty!
item.chickenCooked.*.1,Cooked  Chicken,"Yummy cooked chicken. And the best thing is, You made it! Restores three hunger points."
item.chickenRaw.*.1,Raw Chicken,Found by killing a chicken. Could be cooked but eating it raw will restore one hunger point.
item.clay.*.1,Clay ball,Clay is found at the bottom of oceans and rivers. You can smelt it in a furnace to create clay brick. Which can then be combined to make brick.
item.clock.*.1,Clock,"Holding this useful instrument will let you see the position of the sun, allowing you to tell time even underground. Does not work in the Nether or in the End"
item.coal.*.1,Coal,"A common material used mainly for torches, it is also the most efficient fuel.  Can typically be found in the stockings of naughty children."
item.coal.*.2,Coal,Found in underground or near the cliffs. It is the most common ore underground!
item.compass.*.1,Compass,The red marker on this handy gadget will always point towards your default spawn location.
item.compass.*.2,Compass,"The compass is very useful, craft it, you will see your respawn point. Never lost !"
item.cookie.*.1,Cookie,"Just like mom used to make, this scrumptious cookie isn't very filling, but it sure does taste good."
item.cookie.*.2,Cookie,A cookie restores one hunger point each time it is eaten and is stackable up to 8
item.cookie.*.3,Cookie,Don't tell cookie monster! A cookie restores one hunger point each time it is eaten.
item.diode.*.1,Redstone Repeater,A repeater is used in extending and/or delaying redstone signals. They can also be used to power blocks directly which allows some very tightly squeezed redstone circuitry.
item.doorIron.*.1,Iron Door,"Unlike the wood door, you cannot right or left click to open. Instead you must either place a lever nearby or provide the door with redstone power. Once applied the door will stay open until the power source turns off. They act as entrances and exits to concealed areas."
item.doorWood.*.1,Wood Door,When placed you can right or left click them to open and close them. They act as entrances and exits to concealed areas.
item.dyePowder.*.1,Dye,Can be used to dye wools.
item.egg.*.1,Egg,"It is an item created by chickens, throw an egg on the ground will spawn with a random chance a chicken."
item.egg.*.2,Egg,"Created by chickens in a mysterious biological process, eggs are an ingredient of cake and can be thrown for a small chance to hatch a baby chicken.. or just to make a mess."
item.emerald.0.1,Diamond,"Very, Very Precious. Make sure you don't lose it, and look out for creepers!"
item.enderPearl.*.1,Ender Pearl,"You can obtain these from killing Endermen. They have magic power, and can be imbued with Blaze Power to unlock a word of excitement."
item.enderPearl.*.2,Ender Pearl,Good Job! You killed an enderman!
item.eyeofEnder.*.1,Eye of Ender,"Little is known about the eye of ender. When used it appears to point you in some direction, perhaps you should follow?"
item.feather.*.1,Feather,Get this by killing chickens. Used for making arrows.
item.fermentedSpiderEye.*.1,Fermented Spider Eye,"Used in making negative potions such as ""Potion of Weakness"" and ""Potion of Harming"" These can be thrown at monsters to hurt them."
item.fishCooked.*.1,Cooked Fish,Tasty and Healthy! Heals three hunger points.
item.fishingRod.*.1,Fishing Rod,Used for catching fish. Bait is not required.
item.fishRaw.*.1,Raw Fish,"An uncooked fish, it heals one hunger point."
item.flint.*.1,Flint,Flint is a very hard and durable variety of quartz. The extreme hardness of flint makes it an excellent material for arrows. Flint is found in gravel. 
